Family,Subfamily,Genus,Species,CommonName
Salmonidae,Coregoninae,,,whitefish
,,Coregonus,,whitefish
,,,Coregonus acrinasus,
,,,Coregonus albellus,
,,,Coregonus aff. albellus Brienzer,
,,,Coregonus aff. albellus Thuner,
,,,Coregonus albula,vendace
,,,Coregonus alpenae,longjaw cisco
,,,Coregonus alpinus,
,,,Coregonus aff. alpinus Brienzer,
,,,Coregonus aff. alpinus Thuner,
,,,Coregonus anaulorum,
,,,Coregonus arenicolus,
,,,Coregonus artedi,cisco
,,,Coregonus atterensis,
,,,Coregonus austriacus,
,,,Coregonus autumnalis,Arctic cisco
,,,Coregonus baerii,
,,,Coregonus baicalensis,Baikal whitefish
,,,Coregonus baunti,
,,,Coregonus bavaricus,
,,,Coregonus bezola,
,,,Coregonus brienzii,
,,,Coregonus candidus,
,,,Coregonus chadary,Khadary whitefish
,,,Coregonus clupeaformis,lake whitefish
,,,Coregonus clupeoides,Powan
,,,Coregonus confusus,
,,,Coregonus danneri,
,,,Coregonus duplex,
,,,Coregonus fatioi,
,,,Coregonus cf. duplex AGH-2010,
,,,Coregonus fatioi,
,,,Coregonus fera,
,,,Coregonus fluviatilis,
,,,Coregonus fontanae,
,,,Coregonus gutturosus,Lake Constance whitefish
,,,Coregonus heglingus,
,,,Coregonus aff. heglingus Walen,
,,,Coregonus aff. heglingus Zurich,
,,,Coregonus hiemalis,
,,,Coregonus hoferi,
,,,Coregonus holsata,
,,,Coregonus hoyi,bloater
,,,Coregonus huntsmani,Atlantic whitefish
,,,Coregonus intermundia,
,,,Coregonus johannae,deepwater cisco
,,,Coregonus kiletz,
,,,Coregonus kiyi,kiyi
,,,Coregonus ladogae,
,,,Coregonus laurettae,Bering cisco
,,,Coregonus lavaretus,European whitefish; common whitefish
,,,Coregonus litoralis,
,,,Coregonus lucinensis,
,,,Coregonus lutokka,
,,,Coregonus macrophthalmus,
,,,Coregonus maraena,Maraena whitefish
,,,Coregonus maraenoides,
,,,Coregonus maxillaris,
,,,Coregonus megalops,Lacustrine fluvial whitefish
,,,Coregonus migratorius,Arctic cisco
,,,Coregonus muelleri,
,,,Coregonus muksun,muksun
,,,Coregonus nasus,broad whitefish
,,,Coregonus nelsonii,Alaska whitefish
,,,Coregonus nigripinnis,blackfin cisco
,,,Coregonus nilssoni,
,,,Coregonus nipigon,
,,,Coregonus nobilis,
,,,Coregonus oxyrinchus,houting
,,,Coregonus palaea,
,,,Coregonus aff. palaea Biel,
,,,Coregonus aff. palaea Neuchatel,
,,,Coregonus pallasii,
,,,Coregonus peled,peled
,,,Coregonus pennantii,Gwyniad
,,,Coregonus pidschian,humpback whitefish
,,,Coregonus pollan,Irish pollan
,,,Coregonus pravdinellus,
,,,Coregonus profundus,
,,,Coregonus reighardi,shortnose cisco
,,,Coregonus renke,
,,,Coregonus restrictus,
,,,Coregonus sardinella,Sardine cisco; least cisco
,,,Coregonus steinmanni,
,,,Coregonus stigmaticus,Schelly
,,,Coregonus subautumnalis,
,,,Coregonus suidteri,
,,,Coregonus cf. suidteri AGH-2010,
,,,Coregonus cf. suidteri Ex74D1,
,,,Coregonus cf. suidteri Ex74D2,
,,,Coregonus cf. suidteri Ex74D3,
,,,Coregonus cf. suidteri Ex74D4,
,,,Coregonus cf. suidteri Ex74D5,
,,,Coregonus cf. suidteri Ex74D6,
